Draw Date,Winning Numbers,,,,,Powerball,Power Play
06/01/2016,40,69,33,23,30,12,5
05/28/2016,6,34,33,59,58,12,2
05/25/2016,64,24,59,41,11,15,3
05/21/2016,9,32,5,7,23,26,4
05/18/2016,25,67,39,23,54,11,3
05/14/2016,64,27,65,13,47,9,3
05/11/2016,69,32,52,66,20,23,3
05/07/2016,25,66,44,5,26,9,2
05/04/2016,47,69,30,66,57,3,3
04/30/2016,32,16,3,34,12,14,3
04/27/2016,25,39,64,2,33,17,2
04/23/2016,46,62,59,35,19,13,5
04/20/2016,62,30,12,25,52,8,3
04/16/2016,32,3,25,51,18,3,2
04/13/2016,30,35,38,33,64,22,3
04/09/2016,14,23,41,61,22,9,3
04/06/2016,65,28,49,60,4,25,2
04/02/2016,9,61,28,40,30,3,2
03/30/2016,55,24,63,53,44,19,2
03/26/2016,23,42,68,52,11,6,3
03/23/2016,22,15,49,5,8,25,3
03/19/2016,11,60,23,54,43,3,3
03/16/2016,46,50,12,13,10,21,3
03/12/2016,28,11,50,57,62,23,2
03/09/2016,32,34,14,23,68,3,3
03/05/2016,3,34,27,59,69,19,2
03/02/2016,62,52,13,12,44,6,2
02/27/2016,22,11,53,21,10,18,3
02/24/2016,67,21,65,31,64,5,3
02/20/2016,54,12,11,16,15,25,5
02/17/2016,29,27,7,40,17,25,2
02/13/2016,7,15,36,18,19,20,2
02/10/2016,2,62,40,50,3,5,2
02/06/2016,13,4,36,31,52,8,3
02/03/2016,26,60,67,31,28,23,3
01/30/2016,16,5,12,31,43,18,4
01/27/2016,40,52,3,67,12,21,2
01/23/2016,32,22,40,69,34,19,4
01/20/2016,44,5,39,69,47,24,5
01/16/2016,61,52,51,64,3,6,2
01/13/2016,8,27,34,4,19,10,2
01/09/2016,32,16,19,57,34,13,3
01/06/2016,47,2,63,62,11,17,3
01/02/2016,42,15,6,5,29,10,2
12/30/2015,12,61,54,38,36,22,3
12/26/2015,65,40,44,59,27,20,2
12/23/2015,67,16,63,38,55,25,4
12/19/2015,30,68,59,41,28,10,2
12/16/2015,9,42,10,55,32,6,2
12/12/2015,62,2,30,19,14,22,2
12/09/2015,16,46,10,56,7,1,2
12/05/2015,47,33,68,27,13,13,2
12/02/2015,14,18,19,64,32,9,2
11/28/2015,47,2,66,67,6,2,3
11/25/2015,53,16,69,58,29,21,2
11/21/2015,37,57,47,50,52,21,3
11/18/2015,40,17,46,69,41,6,2
11/14/2015,66,37,22,14,45,5,3
11/11/2015,26,4,32,55,64,18,3
11/07/2015,50,53,7,16,25,15,2
11/04/2015,12,2,17,20,65,17,4
10/31/2015,9,47,20,25,68,7,2
10/28/2015,56,62,54,63,4,10,2
10/24/2015,20,31,56,64,60,2,3
10/21/2015,57,32,30,42,56,11,4
10/17/2015,57,62,69,49,48,19,3
10/14/2015,20,15,31,40,29,1,2
10/10/2015,27,68,12,43,29,1,2
10/07/2015,52,40,48,18,30,9,3
